# Copilot library renders - version record (old/ and new/)
#
# old/  ballerina-platform/ballerina-vscode @ main                              eb5d81b3b283b5681306a75bfb48aa3172a9fb80
# new/  Check-PR-s/ballerina-vscode @ L1_json_and_annotations_with_spec_v2      412ba01e36a017d80b299e94ba168db70ba835d9
# Ballerina 2201.13.4 (Swan Lake Update 13)
#
# old/ resolved via PackageUtil.getModulePackage(org, name)          - pinned by cache contents (FORCE_OFFLINE)
# new/ resolved via PackageUtil.getModulePackage(org, name, version) - pinned explicitly (spec-v2 overload)
#
# library                                               pinned      old resolved  new resolved  status

ballerinax/hubspot.crm.obj.tickets                    2.0.2       2.0.2         2.0.2         PIN_OK
ballerinax/mysql                                      1.19.0      1.19.0        1.19.0        PIN_OK
ballerinax/postgresql                                 1.19.0      1.19.0        1.19.0        PIN_OK
ballerinax/mssql                                      1.19.0      1.19.0        1.19.0        PIN_OK
ballerinax/oracledb                                   1.17.0      1.17.0        1.17.0        PIN_OK
ballerinax/mongodb                                    5.2.4       5.2.4         5.2.4         PIN_OK
ballerinax/redis                                      3.4.1       3.4.1         3.4.1         PIN_OK
ballerinax/aws.redshift                               1.2.2       1.2.2         1.2.2         PIN_OK
ballerinax/aws.redshiftdata                           1.1.0       1.1.0         1.1.0         PIN_OK
ballerinax/snowflake                                  2.2.2       2.2.2         2.2.2         PIN_OK
ballerinax/java.jdbc                                  1.15.1      1.15.1        1.15.1        PIN_OK
ballerinax/cdc                                        1.4.0       1.4.0         1.4.0         PIN_OK
ballerinax/github                                     6.0.0       6.0.0         6.0.0         PIN_OK
ballerinax/wso2.apim.catalog                          1.3.0       1.3.0         1.3.0         PIN_OK
ballerinax/copybook                                   1.1.0       1.1.0         1.1.0         PIN_OK
ballerinax/amp                                        1.1.0       1.1.0         1.1.0         PIN_OK
ballerinax/idetraceprovider                           0.9.0       0.9.0         0.9.0         PIN_OK
ballerinax/moesif                                     1.0.3       1.0.3         1.0.3         PIN_OK
ballerinax/newrelic                                   1.0.3       1.0.3         1.0.3         PIN_OK
ballerinax/shopify.admin                              3.0.0       3.0.0         3.0.0         PIN_OK
ballerinax/sap.commerce.webservices                   0.9.1       0.9.1         0.9.1         PIN_OK
ballerinax/sap                                        1.3.1       1.3.1         1.3.1         PIN_OK
ballerinax/sap.s4hana.salesarea_0001                  2.1.0       2.1.0         2.1.0         PIN_OK
ballerinax/sap.s4hana.api_salesdistrict_srv           2.1.0       2.1.0         2.1.0         PIN_OK
ballerinax/sap.s4hana.api_sales_inquiry_srv           2.1.0       2.1.0         2.1.0         PIN_OK
ballerinax/sap.s4hana.api_sales_order_srv             2.1.0       2.1.0         2.1.0         PIN_OK
ballerinax/sap.s4hana.ce_salesorder_0001              2.1.0       2.1.0         2.1.0         PIN_OK
ballerinax/sap.s4hana.api_sales_order_simulation_srv  2.1.0       2.1.0         2.1.0         PIN_OK
ballerinax/sap.s4hana.api_salesorganization_srv       2.1.0       2.1.0         2.1.0         PIN_OK
ballerinax/sap.s4hana.api_sales_quotation_srv         2.1.0       2.1.0         2.1.0         PIN_OK
ballerinax/sap.s4hana.api_sd_incoterms_srv            2.1.0       2.1.0         2.1.0         PIN_OK
ballerinax/sap.s4hana.api_sd_sa_soldtopartydetn       2.1.0       2.1.0         2.1.0         PIN_OK
ballerinax/guidewire.insnow                           0.2.0       0.2.0         0.2.0         PIN_OK
ballerinax/ibm.ctg                                    0.1.1       0.1.1         0.1.1         PIN_OK
ballerinax/stripe                                     2.0.1       2.0.1         2.0.1         PIN_OK
ballerinax/paypal.invoices                            1.0.2       1.0.2         1.0.2         PIN_OK
ballerinax/paypal.orders                              2.0.2       2.0.2         2.0.2         PIN_OK
ballerinax/paypal.payments                            2.0.2       2.0.2         2.0.2         PIN_OK
ballerinax/paypal.subscriptions                       1.0.2       1.0.2         1.0.2         PIN_OK
ballerinax/peoplehr                                   2.2.1       2.2.1         2.2.1         PIN_OK
ballerinax/salesforce.marketingcloud                  1.0.2       1.0.2         1.0.2         PIN_OK
ballerinax/hubspot.marketing.campaigns                2.0.2       2.0.2         2.0.2         PIN_OK
